no,h2_name,addr,pay,tel
53,하이넷 자운대 수소충전소,대전,9900,07041444833
54,린데수소충전소/대전유성수소충전소,대전,9900,07077778642
55,하이넷 신탄진휴게소(서울방향) 수소충전소,대전,9900,07077802046
56,신대 수소충전소,대전,9600,0427164015
57,옥동 수소복합충전소,울산,9900,0522655540
58,울산 투게더수소충전소,울산,9900,0527005859
59,에어프로덕츠 울산 수소충전소,울산,8500,0522594090
60,울산상개 SK수소충전소,울산,9000,0529988488
61,태화강역 수소충전소,울산,9500,0527009080
62,경동 수소복합충전소,울산,9900,0522880610
63,경수소충전소,울산,9900,0522013000
64,코하이젠 울산명촌 수소충전소,울산,10700,0527003155
65,신일복합충전소,울산,9500,0522251500
66,그린복합충전소,울산,9700,0522399600
67,언양휴게소(서울방향) 수소충전소,울산,10000,0522636146
68,울산 덕하복합충전소,울산,9800,0529115442
69,언양 복합충전소,울산,10900,0522543100
70,하이넷 세종청사 수소충전소,"세종,",9900,0449055100
71,하이넷 세종대평 수소충전소,"세종,",9900,07041967002
72,코하이젠 세종대평 수소충전소,"세종,",11080,0448633155
73,하이넷 수원영통 수소충전소,경기,9900,07050144853
74,하이버스 성남사송 수소충전소,경기,11000,0317591278
75,성남시 수소충전소,경기,11000,0317557600
76,부천 춘의 수소충전소,경기,9900,0323400936
77,하이넷 광명소하 수소충전소,경기,9900,07077702552
78,하이넷 평택팽성 수소충전소,경기,9900,0316563543
79,평택 블루에너지 수소충전소,경기,9900,050714919999
80,평화 수소충전소,경기,9900,0316830116
81,평택 월곡 수소충전소,경기,9900,0316919385
82,평택복합휴게소 수소충전소 에이치케이하이웨이,경기,10000,07042769966
83,평택항 수소교통복합기지,경기,9900,0316868621
84,하이버스 평택모곡 수소충전소,경기,11000,0316639497
85,하이넷 동안산사사 수소충전소,경기,9900,07077061412
86,코하이젠 안산본오 수소충전소,경기,11900,0314083155
87,안산 수소e로움 충전소,경기,9900,0314927047
88,안산수소교통복합기지,None,10500,0314914101
89,한강H2복합충전소,경기,11000,0231597120
90,E1 원당 수소충전소,경기,11000,0319680343
91,E1 고양 수소버스 충전소,경기,12650,0319671988
92,하이버스 고양대화 수소충전소,경기,11000,0312590073
93,E1 과천 수소충전소,경기,11000,0234187100
94,하이넷 구리토평 수소충전소,경기,9900,07077307938
95,하이넷 의왕왕곡 수소충전소,경기,9900,0314585201
96,H하남드림휴게소(양방향) 수소충전소,경기,10620,0317935800
97,하이넷 에버랜드 수소충전소,경기,9900,07043045065
98,기흥휴게소(부산방향) 수소충전소,경기,10400,07077775557
99,코하이젠 파주봉서 수소충전소,경기,12300,0319543155
100,덕평휴게소(강릉방향) SK에너지 수소충전소,None,10950,0316388114
101,하이버스 이천대흥 수소충전소,경기,11000,0316347652
102,H안성휴게소(서울방향) 수소충전소,경기,10620,0316644096
103,안성휴게소(부산방향) 수소충전소,경기,10100,07041558348
104,안성시 수소충전소,경기,9900,0316715800
105,안성맞춤휴게소(제천방향) 수소충전소,경기,9700,0316736986
106,하이넷 김포걸포 수소충전소,경기,9900,07077720062
107,하이넷 화성동탄 수소충전소,경기,9900,03180437800
108,하이넷 화성시청 충전소,경기,9900,07041754420
109,화성 향남(종합경기타운 내) 수소충전소,경기,9900,0313598475
110,린데수소충전소/화성휴게소(목포방향),경기,9900,07040661088
111,화성송산 수소충전소,경기,10500,0313567331
112,하이넷 화성비봉 수소충전소,경기,9900,07041195462
113,코하이젠 회천농협 수소충전소,None,12300,0318643155
114,여주휴게소(강릉방향) 수소충전소,경기,10620,0318816132
115,문의 수소충전소,충북,9900,0432923733
116,성일 수소충전소,충북,9900,0432669643
117,가로수 수소충전소,충북,9900,0432315177
118,청주휴게소(서울방향) 수소충전소,충북,9700,0432318833
119,하이버스 청주송절 수소충전소,충북,11000,0432647651
120,충북 청주 도원수소충전소,충북,9900,0432147790
121,충북 청주 수소충전소(관문),충북,9900,0432116604
122,충주 연수 수소충전소,충북,9900,0437242430
123,충주바이오그린수소충전소,충북,9500,0438455937
124,충주시 수소 버스 충전소,충북,9900,0438558236
125,하이넷 충주휴게소 수소충전소,충북,9900,0438577371
126,제천 삼보수소충전소,충북,9900,0436535987
127,하이넷 속리산휴게소(청주방향) 수소충전소,충북,9900,0435446311
128,보은군 현대수소충전소,충북,9900,0435425102
129,영동수소충전소,충북,9900,0437441550
130,하이버스 영동계산 수소충전소,충북,11000,0437447655
131,진천IC 수소충전소,충북,9900,0435361235
132,개미 수소충전소,충북,9900,0438326939
133,음성 삼한수소충전소,충북,9800,0438785149
134,음성 휴게소(남이방향) 수소충전소,충북,11000,0438785039
135,린데 수소충전소/음성휴게소(하남방향),충북,9900,07040663352
136,하이넷 음성맹동 수소충전소,충북,9900,07077715900
137,린데망향수소충전소/망향휴게소(부산방향),충남,9900,07040666558
138,천안시 수소충전소,충남,9900,0415234839
139,린데 수소충전소/입장휴게소(서울방향),충남,9900,07040660205
140,하이넷 대천휴게소(서울방향) 수소충전소,충남,9900,07041966575
141,보령1호 수소충전소,충남,9500,0419315294
142,아산 초사수소충전소,충남,9900,0415368870
143,하이넷 아산인주 수소충전소,충남,9900,07044549110
144,서산시 수소충전소,충남,8600,0416667004
145,당진 H2스테이션,충남,9900,0413587571
146,하이넷 당진정미 수소충전소,충남,9900,0413568814
147,현대제철 H수소충전소,충남,9900,0413532225
148,행담도휴게소(양방향) 수소충전소,충남,9900,07077775522
149,내포 수소충전소,충남,9900,0416351248
150,(유)유정에너지 목포수소충전소,전남,9900,0612878949
151,하이넷 목포연산 수소충전소,전남,9900,0612766677
152,하이넷 SPG 여수 수소충전소,전남,9900,07050144446
153,하이넷 여수둔덕 수소충전소,전남,9900,0616522121
154,코하이젠 여수주삼 수소충전소,전남,10000,0616863155
155,하이버스 순천가곡 수소충전소,전남,11000,0617517657
156,하이넷 광양성황 수소충전소,전남,9900,0617948005
157,효성 광양초남 액화수소충전소,전남,11000,07041467771
158,하이넷 장흥정남진휴게소 수소충전소,전남,9900,07041051852
159,하이넷 함평천지휴게소(목포방향) 수소충전소,전남,9900,0613244136
160,백양사휴게소(천안방향) 수소충전소,전남,9700,0613930257
161,코하이젠 포항장흥 수소충전소,경북,11900,07051004825
162,하이넷 경주충효 수소충전소,경북,9900,07088884435
163,하이넷 김천휴게소(서울방향) 수소충전소,경북,9900,0544314477
164,안동(춘천)휴게소 수소충전소,경북,11800,0548543326
165,하이넷 구미옥계 수소충전소,경북,9900,07077225311
166,하이버스 구미선기 수소충전소,경북,11000,0544557654
167,하이버스 구미공단 수소충전소,경북,11000,07075760498
168,하이넷 구미오태 수소충전소,경북,9900,0544623355
169,하이넷 상주외답 수소충전소,경북,9900,0545323600
170,문경(양평)수소충전소,경북,10900,0545549304
171,성주휴게소(창원방향)수소충전소,경북,11000,01020827280
172,하이넷 칠곡휴게소(부산방향) 수소충전소,경북,9900,07042797796
173,성주휴게소(양평방향) 수소충전소,경북,11000,0549330820
174,창원 팔룡수소충전소,경남,9400,0552997716
175,창원 사림수소충전소,경남,9400,0552757716
176,창원 성주수소충전소,경남,9400,0552867715
177,중앙수소충전소,경남,9400,0552751565
178,창원 대원수소충전소,경남,9400,0552880220
179,코하이젠 창원성주 수소충전소,경남,11520,0552753155
180,창원 창원터널수소충전소,None,9400,0552627716
181,창원 덕동수소충전소,경남,9400,0552447716
182,창원 가포수소충전소,경남,9400,07044147766
183,창원 마산자유무역지역수소충전소,경남,9400,0552920270
184,창원 죽곡수소충전소,경남,9400,0555527716
185,내트럭(주) 신항사업소,경남,12000,07078426439
186,진주 수소충전소(LPG 복합),경남,9900,0557411122
187,코하이젠 진주호탄 수소충전소,경남,12000,0557613155
188,하이넷 통영용남 수소충전소,경남,9900,0557257012
189,하이스테이션 통영수소충전소,경남,11220,07044153506
190,김해 수소충전소,경남,9900,0553130860
191,서김해 IC 수소충전소,경남,9900,0553253501
192,밀양시 수소충전소,None,9900,07088431055
193,하이넷 거제장평 수소충전소,경남,9900,07041444747
194,양산시 증산수소충전소,경남,9400,0553870409
195,석산 수소충전소,경남,9400,0553722230
196,H함안휴게소(부산방향) 수소충전소,경남,10620,0555839341
197,남해군 수소충전소,경남,9900,0558628462
198,함덕 그린수소 충전소,제주,15000,0647835650
199,하이넷 춘천휴게소(부산방향) 수소충전소,강원,9900,07077802047
200,춘천 동내 수소충전소,강원,9900,0332626664
201,춘천시 삼천동 수소충전소,None,9900,0332557774
202,춘천 액화 수소충전소,강원,11000,0332629467
203,하이넷 문막휴게소(강릉방향) 수소충전소,강원,9900,0337340764
204,원주 수소충전소,강원,9900,0337355567
205,하이버스 원주장양 수소충전소,강원,11000,0337347657
206,하이넷 강릉시청 수소충전소,강원,9900,07077778698
207,동해휴게소(삼척방향) 수소충전소,강원,11000,0335346648
208,속초 수소충전소,강원,9900,0336383003
209,삼척 수소충전소,강원,9400,0335755190
210,삼척 교동 수소충전복합스테이션,강원,9400,0339401071
211,횡성수소충전소,강원,9900,0333459091
212,평창 대관령 수소충전소,강원,9900,0333334415
213,하이넷 내린천휴게소(양양방향) 수소충전소,강원,9900,0338527000
214,전주삼천수소충전소,전북,11000,0632269904
215,코하이젠 전주평화 수소충전소,전북,11000,0632253155
216,전주 색장 수소충전소,전북,9900,0632840979
217,하이넷 전주송천 수소충전소,전북,9900,0632780109
218,전주 상림 수소충전소,전북,9900,01086544967
219,하이버스 전주전미 수소충전소,전북,11000,0632547662
220,효성 전주호남 액화수소 충전소,전북,11000,0639055060
221,하이넷 군산지곡 수소충전소,전북,9900,050713041145
222,익산2공단 수소충전소(넝쿨),전북,9700,0638335641
223,하이버스 익산목천 수소충전소,전북,11000,0638547653
224,H완주 수소충전소,전북,9900,0632620083
225,덕유산(하남방향) 수소충전소,전북,9700,0633534206
226,오수휴게소(완주방향) 수소충전소,전북,9800,0636444800
227,부안군 수소충전소,전북,9500,0635844839
228,부안 곰소 수소충전소,전북,9500,0635815050
229,하이넷 광주매월 수소충전소,광주,9900,07077200747
230,하이넷 안성맞춤휴게소 수소충전소,경기,9900,07086566033
231,하이넷 경산하양 수소충전소,경북,9900,0536061186
232,코하이젠 익산송학 수소충전소,전북,11000,0638423155
233,김제하동 수소충전소,전북,9900,0635426727
