no,h2_name,addr,pay,tel
74,하이버스 성남사송 수소충전소,경기 성남시 수정구 사송로 41,"11,000원",0317591278
75,성남시 수소충전소,경기 성남시 중원구 경충대로 2659,"11,000원",031-755-7600
76,부천 춘의 수소충전소,경기 부천시 원미구 길주로 682,"9,900원",0323400936
77,하이넷 광명소하 수소충전소,경기 광명시 기아로 115,"9,900원",07077702552
78,하이넷 평택팽성 수소충전소,경기 평택시 팽성읍 팽성로 226,"9,900원",031-656-3543
79,평택 블루에너지 수소충전소,경기 평택시 청원로 1409,"9,900원",050714919999
80,평화 수소충전소,경기 평택시 현덕면 서해로 506,"9,900원",031-683-0116
81,평택 월곡 수소충전소,경기 평택시 월곡길 16,"9,900원",031-691-9385
82,평택복합휴게소 수소충전소 에이치케이하이웨이,경기 평택시 청북읍 평택제천고속도로 6,"10,000원",07042769966
83,평택항 수소교통복합기지,경기 평택시 포승읍 평택항만길 181-78,"9,900원",0316868621
84,하이버스 평택모곡 수소충전소,경기 평택시 칠괴길 63,"11,000원",0316639497
85,하이넷 동안산사사 수소충전소,경기 안산시 상록구 수인로 653,"9,900원",07077061412
86,코하이젠 안산본오 수소충전소,경기 안산시 상록구 오목로 136,"11,900원",0314083155
87,안산 수소e로움 충전소,경기 안산시 단원구 첨단로 660,"9,900원",031-492-7047
88,안산수소교통복합기지,,"10,500원",0314914101
89,한강H2복합충전소,경기 고양시 덕양구 자유로 86,"11,000원",0231597120
90,E1 원당 수소충전소,경기 고양시 덕양구 호국로 989,"11,000원",0319680343
91,E1 고양 수소버스 충전소,경기 고양시 덕양구 통일로493번길 46,"12,650원",0319671988
92,하이버스 고양대화 수소충전소,경기 고양시 일산서구 대수길 105,"11,000원",0312590073
93,E1 과천 수소충전소,경기 과천시 중앙로 526,"11,000원",0234187100
94,하이넷 구리토평 수소충전소,경기 구리시 벌말로 8,"9,900원",07077307938
95,하이넷 의왕왕곡 수소충전소,경기 의왕시 경수대로 75,"9,900원",0314585201
96,H하남드림휴게소(양방향) 수소충전소,경기 하남시 중부고속도로 117-2,"10,620원",031-793-5800
97,하이넷 에버랜드 수소충전소,경기 용인시 처인구 포곡읍 곡현로 74,"9,900원",070-4304-5065
98,기흥휴게소(부산방향) 수소충전소,경기 용인시 기흥구 공세로 173,"10,400원",07077775557
99,코하이젠 파주봉서 수소충전소,경기 파주시 파주읍 통일로 1533,"12,300원",0319543155
100,덕평휴게소(강릉방향) SK에너지 수소충전소,,"10,950원",0316388114
101,하이버스 이천대흥 수소충전소,경기 이천시 대월면 대산로 232,"11,000원",0316347652
102,H안성휴게소(서울방향) 수소충전소,경기도 안성시 경부고속도로 365,"10,620원",031-664-4096
103,안성휴게소(부산방향) 수소충전소,경기 안성시 원곡면 경부고속도로 365,"10,100원",07041558348
104,안성시 수소충전소,경기 안성시 영봉로 139,"9,900원",031-671-5800
105,안성맞춤휴게소(제천방향) 수소충전소,경기 안성시 서운면 평택제천고속도로 40,"9,700원",0316736986
106,하이넷 김포걸포 수소충전소,경기 김포시 감암로 127,"9,900원",07077720062
107,하이넷 화성동탄 수소충전소,경기도 화성시 동탄산단7길 38,"9,900원",031-8043-7800
108,하이넷 화성시청 충전소,경기 화성시 남양읍 시청로 157,"9,900원",070-4175-4420
109,화성 향남(종합경기타운 내) 수소충전소,경기 화성시 향남읍 향남로 470,"9,900원",031-359-8475
110,린데수소충전소/화성휴게소(목포방향),경기 화성시 팔탄면 서해안고속도로 301,"9,900원",070-4066-1088
111,화성송산 수소충전소,경기 화성시 송산면 삼존로 59,"10,500원",0313567331
112,하이넷 화성비봉 수소충전소,경기 화성시 비봉면 화성로 2047,"9,900원",07041195462
113,코하이젠 회천농협 수소충전소,,"12,300원",0318643155
114,여주휴게소(강릉방향) 수소충전소,경기 여주시 가남읍 여주남로 722,"10,620원",031-881-6132
115,문의 수소충전소,충북 청주시 상당구 문의면 미천고은로 63,"9,900원",0432923733
116,성일 수소충전소,충북 청주시 서원구 남이면 청남로 869,"9,900원",0432669643
117,가로수 수소충전소,충북 청주시 흥덕구 가로수로 793,"9,900원",043-231-5177
118,청주휴게소(서울방향) 수소충전소,충북 청주시 흥덕구 옥산면 경부고속도로 318,"9,700원",0432318833
119,하이버스 청주송절 수소충전소,충북 청주시 흥덕구 송절로 2,"11,000원",0432647651
120,충북 청주 도원수소충전소,충북 청주시 청원구 내수읍 충청대로 767,"9,900원",0432147790
121,충북 청주 수소충전소(관문),충청북도 청주시 청원구 양청농소길 101,"9,900원",043-211-6604
122,충주 연수 수소충전소,충청북도 충주시 금봉대로 605 연수LPG충전소,"9,900원",043-724-2430
123,충주바이오그린수소충전소,충북 충주시 벌터4길 13,"9,500원",0438455937
124,충주시 수소 버스 충전소,충북 충주시 국원대로 385,"9,900원",0438558236
125,하이넷 충주휴게소 수소충전소,충북 충주시 중앙탑면 중부내륙고속도로 231-1,"9,900원",0438577371
126,제천 삼보수소충전소,충북 제천시 봉양읍 북부로 913,"9,900원",043-653-5987
127,하이넷 속리산휴게소(청주방향) 수소충전소,충북 보은군 마로면 적암길 56-18,"9,900원",0435446311
128,보은군 현대수소충전소,충북 보은군 보은읍 보청대로 1670,"9,900원",0435425102
129,영동수소충전소,충북 영동군 영동읍 금동로 195,"9,900원",0437441550
130,하이버스 영동계산 수소충전소,충북 영동군 영동읍 금동로 149,"11,000원",0437447655
131,진천IC 수소충전소,충북 진천군 진천읍 덕금로 106-30,"9,900원",0435361235
132,개미 수소충전소,충북 괴산군 괴산읍 읍내로 55,"9,900원",043-832-6939
133,음성 삼한수소충전소,충북 음성군 생극면 중원대로 792,"9,800원",043-878-5149
134,음성 휴게소(남이방향) 수소충전소,충청북도 음성군 중부고속도로 51 음성휴게소 하 주유소,"11,000원",043-878-5039
135,린데 수소충전소/음성휴게소(하남방향),충북 음성군 삼성면 중부고속도로 52,"9,900원",07040663352
136,하이넷 음성맹동 수소충전소,충북 음성군 맹동면 맹동산단1길 11,"9,900원",07077715900
137,린데망향수소충전소/망향휴게소(부산방향),충남 천안시 서북구 성거읍 돌다리길 23-37,"9,900원",07040666558
138,천안시 수소충전소,충청남도 천안시 서북구 번영로 156(불당동),"9,900원",041-523-4839
139,린데 수소충전소/입장휴게소(서울방향),충남 천안시 서북구 입장면 연곡길 407,"9,900원",070-4066-0205
140,하이넷 대천휴게소(서울방향) 수소충전소,충남 보령시 주교면 서해안고속도로 200,"9,900원",07041966575
141,보령1호 수소충전소,충남 보령시 명해로 75,"9,500원",0419315294
142,아산 초사수소충전소,충청남도 아산시 무궁화로 52-26,"9,900원",041-536-8870
143,하이넷 아산인주 수소충전소,충남 아산시 인주면 현대로1029번길 200-2,"9,900원",070-4454-9110
144,서산시 수소충전소,충청남도 서산시 상홍검동길 167,"8,600원",041-666-7004
145,당진 H2스테이션,충남 당진시 송산면 가곡로 187,"9,900원",041-358-7571
146,하이넷 당진정미 수소충전소,충남 당진시 정미면 서해로 4916,"9,900원",041-356-8814
147,현대제철 H수소충전소,충남 당진시 송산면 가곡로 185,"9,900원",0413532225
148,행담도휴게소(양방향) 수소충전소,충남 당진시 신평면 서해안고속도로 275,"9,900원",07077775522
149,내포 수소충전소,충남 홍성군 홍북읍 용봉로 234,"9,900원",041-635-1248
150,(유)유정에너지 목포수소충전소,전남 목포시 백년대로 221,"9,900원",0612878949
151,하이넷 목포연산 수소충전소,전남 목포시 대양로 25,"9,900원",0612766677
152,하이넷 SPG 여수 수소충전소,전라남도 여수시 여수산단로 603,"9,900원",070-5014-4446
153,하이넷 여수둔덕 수소충전소,전남 여수시 좌수영로 617,"9,900원",0616522121
154,코하이젠 여수주삼 수소충전소,전남 여수시 삼동2길 30,"10,000원",0616863155
155,하이버스 순천가곡 수소충전소,전남 순천시 중앙로 428,"11,000원",0617517657
156,하이넷 광양성황 수소충전소,전남 광양시 백운로 955-4,"9,900원",0617948005
157,효성 광양초남 액화수소충전소,전남 광양시 광양읍 초남2공단1길 77-8,"11,000원",07041467771
158,하이넷 장흥정남진휴게소 수소충전소,전남 장흥군 부산면 남해고속도로 41,"9,900원",07041051852
159,하이넷 함평천지휴게소(목포방향) 수소충전소,전남 함평군 함평읍 서해안고속도로 31-1,"9,900원",0613244136
160,백양사휴게소(천안방향) 수소충전소,전남 장성군 북일면 호남고속도로 108,"9,700원",061-393-0257
161,코하이젠 포항장흥 수소충전소,경북 포항시 남구 철강로 181,"11,900원",07051004825
162,하이넷 경주충효 수소충전소,경북 경주시 태종로 311,"9,900원",07088884435
163,하이넷 김천휴게소(서울방향) 수소충전소,경북 김천시 농소면 경부고속도로 194,"9,900원",0544314477
164,안동(춘천)휴게소 수소충전소,경북 안동시 풍산읍 풍산태사로 1913-54,"11,800원",0548543326
165,하이넷 구미옥계 수소충전소,경북 구미시 옥계2공단로 554,"9,900원",07077225311
166,하이버스 구미선기 수소충전소,경북 구미시 송선로 293,"11,000원",0544557654
167,하이버스 구미공단 수소충전소,경북 구미시 산호대로 142-32,"11,000원",07075760498
168,하이넷 구미오태 수소충전소,경북 구미시 낙동강변로 12,"9,900원",0544623355
169,하이넷 상주외답 수소충전소,경북 상주시 영남제일로 1339,"9,900원",0545323600
170,문경(양평)수소충전소,경북 문경시 중부내륙고속도로 174-1,"10,900원",0545549304
171,성주휴게소(창원방향)수소충전소,경북 성주군 초전면 중부내륙고속도로 97,"11,000원",01020827280
172,하이넷 칠곡휴게소(부산방향) 수소충전소,경북 칠곡군 왜관읍 경부고속도로 159,"9,900원",07042797796
173,성주휴게소(양평방향) 수소충전소,경북 성주군 초전면 중부내륙고속도로 98,"11,000원",054-933-0820
174,창원 팔룡수소충전소,경남 창원시 의창구 소계로 1,"9,400원",055-299-7716
175,창원 사림수소충전소,경남 창원시 의창구 용동로 110,"9,400원",0552757716
176,창원 성주수소충전소,경남 창원시 성산구 불모산로 43,"9,400원",055-286-7715
177,중앙수소충전소,경남 창원시 성산구 중앙대로21번길 지하 15,"9,400원",055-275-1565
178,창원 대원수소충전소,경남 창원시 성산구 창원대로 488,"9,400원",0552880220
179,코하이젠 창원성주 수소충전소,경남 창원시 성산구 불모산로48번길 5,"11,520원",0552753155
180,창원 창원터널수소충전소,,"9,400원",0552627716
181,창원 덕동수소충전소,경상남도 창원시 마산합포구 현동로 252,"9,400원",055-244-7716
182,창원 가포수소충전소,경남 창원시 마산합포구 가포신항남로 45,"9,400원",07044147766
183,창원 마산자유무역지역수소충전소,경남 창원시 마산회원구 무역로 27,"9,400원",0552920270
184,창원 죽곡수소충전소,경남 창원시 진해구 진해대로 1327,"9,400원",055-552-7716
185,내트럭(주) 신항사업소,경남 창원시 진해구 신항북로 320,"12,000원",07078426439
186,진주 수소충전소(LPG 복합),경상남도 진주시 판문로 192,"9,900원",055-741-1122
187,코하이젠 진주호탄 수소충전소,경남 진주시 가호방아길 9,"12,000원",0557613155
188,하이넷 통영용남 수소충전소,경남 통영시 용남면 남해안대로 38,"9,900원",0557257012
189,하이스테이션 통영수소충전소,경남 통영시 광도면 남해안대로 1130-38,"11,220원",07044153506
190,김해 수소충전소,경남 김해시 김해대로2596번길 53,"9,900원",055-313-0860
191,서김해 IC 수소충전소,경남 김해시 골든루트로66번길 143,"9,900원",0553253501
192,밀양시 수소충전소,,"9,900원",07088431055
193,하이넷 거제장평 수소충전소,경남 거제시 거제대로 5050,"9,900원",070-4144-4747
194,양산시 증산수소충전소,경상남도 양산시 물금읍 메기로 114,"9,400원",055-387-0409
195,석산 수소충전소,경남 양산시 동면 양산대로 602,"9,400원",0553722230
196,H함안휴게소(부산방향) 수소충전소,경남 함안군 군북면 현포로 205,"10,620원",055-583-9341
197,남해군 수소충전소,경남 남해군 남해읍 스포츠로 229,"9,900원",0558628462
198,함덕 그린수소 충전소,제주특별자치도 제주시 조천읍 함와로 170,"15,000원",0647835650
199,하이넷 춘천휴게소(부산방향) 수소충전소,강원특별자치도 춘천시 동내면 영서로 1432,"9,900원",070-7780-2047
200,춘천 동내 수소충전소,강원특별자치도 춘천시 동내면 영서로 1632,"9,900원",033-262-6664
201,춘천시 삼천동 수소충전소,,"9,900원",0332557774
202,춘천 액화 수소충전소,강원특별자치도 춘천시 동내면 영서로 1632-1,"11,000원",0332629467
203,하이넷 문막휴게소(강릉방향) 수소충전소,강원특별자치도 원주시 원문로 1234 문막하행휴게소,"9,900원",033-734-0764
204,원주 수소충전소,강원특별자치도 원주시 문막읍 원문로 1320,"9,900원",0337355567
205,하이버스 원주장양 수소충전소,강원특별자치도 원주시 소초면 북원로 3118-2,"11,000원",0337347657
206,하이넷 강릉시청 수소충전소,강원특별자치도 강릉시 강릉대로 35,"9,900원",07077778698
207,동해휴게소(삼척방향) 수소충전소,강원특별자치도 동해시 동해대로 6427,"11,000원",0335346648
208,속초 수소충전소,강원특별자치도 속초시 동해대로 4521,"9,900원",033-638-3003
209,삼척 수소충전소,강원특별자치도 삼척시 동해대로 3846,"9,400원",033-575-5190
210,삼척 교동 수소충전복합스테이션,강원특별자치도 삼척시 뒷나루길 153,"9,400원",0339401071
211,횡성수소충전소,강원특별자치도 횡성군 횡성읍 횡성로 219,"9,900원",0333459091
212,평창 대관령 수소충전소,강원특별자치도 평창군 대관령면 경강로 5754,"9,900원",0333334415
213,하이넷 내린천휴게소(양양방향) 수소충전소,강원특별자치도 인제군 상남면 서울양양고속도로 117,"9,900원",0338527000
214,전주삼천수소충전소,전북 전주시 완산구 정여립로 536,"11,000원",0632269904
215,코하이젠 전주평화 수소충전소,전북 전주시 완산구 난전들로 59,"11,000원",0632253155
216,전주 색장 수소충전소,전북 전주시 완산구 춘향로 4981,"9,900원",0632840979
217,하이넷 전주송천 수소충전소,전라북도 전주시 덕진구 동부대로 1275,"9,900원",063-278-0109
218,전주 상림 수소충전소,전북특별자치도 전주시 완산구 콩쥐팥쥐로 1586,"9,900원",01086544967
219,하이버스 전주전미 수소충전소,전북특별자치도 전주시 덕진구 전미로 238,"11,000원",0632547662
220,효성 전주호남 액화수소 충전소,전북특별자치도 전주시 덕진구 동부대로 1267,"11,000원",0639055060
221,하이넷 군산지곡 수소충전소,전북 군산시 월명로 112,"9,900원",050713041145
222,익산2공단 수소충전소(넝쿨),전북 익산시 석암로 169,"9,700원",063-833-5641
223,하이버스 익산목천 수소충전소,전북특별자치도 익산시 무왕로2길 140,"11,000원",0638547653
224,H완주 수소충전소,전라북도 완주군 과학로 930,"9,900원",063-262-0083
225,덕유산(하남방향) 수소충전소,전북 무주군 안성면 통영대전고속도로 148,"9,700원",0633534206
226,오수휴게소(완주방향) 수소충전소,전북 임실군 오수면 순천완주고속도로 74,"9,800원",0636444800
227,부안군 수소충전소,전북 부안군 행안면 부안3농공단지길 80,"9,500원",0635844839
228,부안 곰소 수소충전소,전북 부안군 진서면 청자로 1055,"9,500원",0635815050
229,하이넷 광주매월 수소충전소,광주 서구 회재로 651,"9,900원",07077200747
230,하이넷 안성맞춤휴게소 수소충전소,경기 안성시 서운면 평택제천고속도로 41,"9,900원",07086566033
231,하이넷 경산하양 수소충전소,경북 경산시 와촌면 하양로 335,"9,900원",0536061186
232,코하이젠 익산송학 수소충전소,전북특별자치도 익산시 오산면 평동로 349,"11,000원",0638423155
233,김제하동 수소충전소,전북특별자치도 김제시 하공로 46,"9,900원",0635426727
